TransactionID,Amount,TransactionFrequency,UnusualLocation,UnusualAmount,NewDevice,FailedAttempts,FraudFlag
1001,15845,15,0,1,1,0,0
1002,910,43,0,1,0,4,0
1003,38208,29,1,1,1,4,0
1004,44782,36,1,0,1,1,0
1005,11334,13,1,0,1,0,0
1006,6315,32,1,1,1,1,0
1007,16900,71,1,0,0,2,0
1008,37244,59,1,0,1,1,0
1009,22012,86,0,1,0,1,1
1010,47241,28,1,0,0,4,0
1011,44181,66,0,1,0,4,0
1012,16073,42,0,0,0,4,1
1013,41140,45,1,1,0,2,0
1014,1735,62,0,1,0,4,0
1015,819,57,1,1,1,0,0
1016,2483,6,0,1,0,3,0
1017,5361,28,1,0,0,0,0
1018,37869,28,0,1,0,0,0
1019,39238,44,1,1,1,4,0
1020,17618,84,1,1,1,3,0
1021,19819,30,1,0,0,3,0
1022,28743,62,1,1,1,3,0
1023,6446,75,1,0,0,2,0
1024,27530,92,0,1,0,4,0
1025,41484,89,0,0,1,3,0
1026,25708,62,0,0,0,2,1
1027,18992,97,1,1,1,1,0
1028,18481,1,0,0,1,1,0
1029,2797,27,1,1,0,2,0
1030,239,62,1,1,0,2,0
1031,19168,77,0,1,1,4,0
1032,35823,3,0,0,0,4,1
1033,1949,70,1,0,0,1,1
1034,1317,72,0,1,0,3,0
1035,31601,27,1,1,1,1,1
1036,11444,9,1,0,1,3,0
1037,3606,62,1,1,0,3,0
1038,3940,37,1,1,1,4,0
1039,41656,97,1,1,1,0,1
1040,30790,51,0,0,1,0,0
1041,14552,44,0,0,1,2,0
1042,21827,24,1,0,1,4,0
1043,10677,79,1,1,0,3,0
1044,8842,59,0,1,0,0,0
1045,43373,32,0,1,0,3,0
1046,43071,96,1,0,1,0,0
1047,8483,88,0,1,1,0,0
1048,43051,52,1,1,0,0,0
1049,11066,62,0,1,1,4,0
1050,23947,58,1,1,0,1,0
1051,2662,52,0,0,0,3,0
1052,23533,12,1,0,0,4,1
1053,48605,39,0,1,1,4,0
1054,17209,2,0,0,1,4,0
1055,45024,3,1,0,0,4,0
1056,41044,56,0,1,0,4,0
1057,14591,81,1,1,0,2,0
1058,35970,59,0,0,0,3,0
1059,26581,2,1,1,1,4,0
1060,1635,2,0,0,1,3,0
1061,3993,92,1,1,0,2,0
1062,23989,54,0,0,0,2,0
1063,19507,87,1,1,1,3,0
1064,1071,96,0,0,1,0,0
1065,11703,97,1,0,0,1,0
1066,43623,1,1,0,0,0,0
1067,13467,19,1,1,0,0,0
1068,40807,2,0,0,1,0,0
1069,9742,53,1,0,1,4,0
1070,45808,44,0,1,1,2,0
1071,6923,90,1,1,0,0,0
1072,5725,32,0,0,0,2,1
1073,211,70,1,0,1,3,1
1074,37115,32,0,1,1,1,0
1075,26607,68,0,1,0,3,0
1076,33813,55,1,1,1,3,1
1077,32656,75,0,1,1,4,0
1078,11584,56,0,1,0,1,0
1079,29177,17,1,0,1,3,0
1080,40447,38,0,1,0,3,0
1081,25901,24,0,0,0,1,0
1082,1066,69,0,0,0,1,0
1083,24303,98,1,0,0,3,0
1084,24326,70,0,1,0,1,0
1085,23297,86,1,0,0,3,0
1086,24350,11,0,0,0,3,0
1087,8579,16,0,1,1,4,0
1088,17312,97,0,0,0,0,0
1089,9318,73,1,0,0,3,1
1090,21321,59,0,1,1,2,0
1091,12235,70,0,0,1,0,0
1092,21293,80,1,0,1,0,0
1093,39149,93,0,0,0,0,0
1094,8621,3,1,1,1,4,0
1095,40026,20,1,1,0,3,0
1096,38094,59,0,1,0,4,0
1097,49266,36,1,0,0,3,0
1098,49034,19,0,0,0,4,0
1099,40824,90,1,1,1,4,0
1100,2618,67,1,0,1,2,0
1101,2077,19,0,0,0,4,0
1102,2745,20,1,1,0,1,0
1103,48240,96,1,1,0,2,1
1104,5308,71,1,0,1,4,0
1105,22052,52,1,0,0,0,0
1106,39554,33,1,0,0,1,0
1107,33209,40,0,1,1,1,0
1108,14036,39,1,1,1,1,0
1109,12716,82,0,1,0,2,0
1110,38710,1,1,1,1,4,0
1111,3611,11,0,0,1,4,0
1112,26904,92,0,1,0,0,0
1113,39002,57,1,1,1,0,0
1114,22712,89,1,1,0,1,0
1115,8442,50,1,1,1,0,0
1116,30585,23,0,1,0,2,0
1117,13117,31,1,0,0,4,0
1118,48083,94,0,0,0,1,0
1119,23649,42,0,1,1,0,1
1120,35272,99,0,0,0,2,0
1121,11887,7,1,1,1,2,0
1122,14089,16,1,1,0,0,0
1123,30868,90,0,0,0,4,0
1124,19165,60,0,0,1,0,0
1125,11015,2,1,1,0,1,0
1126,24588,1,0,1,0,0,0
1127,42580,48,1,1,1,2,0
1128,5106,12,0,0,0,0,0
1129,32532,69,1,1,0,4,1
1130,47766,37,0,1,0,3,0
1131,8160,32,1,1,0,0,0
1132,13823,9,0,0,1,4,0
1133,27316,99,1,1,1,4,1
1134,17462,19,1,1,0,2,0
1135,33320,48,0,0,1,4,0
1136,6960,80,0,1,0,4,1
1137,45503,3,1,1,1,4,1
1138,25496,20,0,0,0,4,1
1139,256,24,1,1,0,1,0
1140,21568,54,0,0,0,1,0
1141,22411,33,1,0,0,2,0
1142,23469,24,1,1,0,0,1
1143,48752,75,1,1,0,4,0
1144,41573,72,1,1,1,0,0
1145,45201,36,1,1,0,0,0
1146,22453,38,1,0,1,2,0
1147,18191,84,0,1,0,4,0
1148,14870,99,0,0,1,4,0
1149,40392,89,0,1,1,3,0
1150,6424,99,1,1,1,0,0
